image_name,class,texture_blk_feat_0,texture_blk_feat_1,texture_blk_feat_2,texture_blk_feat_3,texture_blk_feat_4,texture_blk_feat_5,texture_blk_feat_6,texture_blk_feat_7,texture_blk_feat_8,texture_blk_feat_9,texture_blk_feat_10,texture_blk_feat_11,texture_blk_feat_12,texture_blk_feat_13,texture_blk_feat_14,texture_blk_feat_15,texture_blk_feat_16,texture_blk_feat_17,texture_blk_feat_18,texture_blk_feat_19,texture_blk_feat_20,texture_blk_feat_21,texture_blk_feat_22,texture_blk_feat_23,texture_blk_feat_24,texture_blk_feat_25,texture_blk_feat_26,texture_blk_feat_27,texture_blk_feat_28,texture_blk_feat_29,texture_blk_feat_30,texture_blk_feat_31
image_0010,OM5,130.6561,134.91164,134.67206,125.24573,133.12389,166.1746,182.5297,119.78326,122.809326,140.39658,120.900764,103.6805,101.9507,75.890526,77.603294,101.96655,16.649433,16.676281,12.923546,13.1375885,21.83875,24.233866,25.022465,16.777138,20.041954,33.925472,21.22006,13.7247095,22.254354,25.633778,25.47754,19.571838
image_0011,OM5,105.17109,123.6361,126.9411,117.15144,107.16237,144.45134,145.72226,100.00889,83.94606,110.49647,116.96867,92.37211,84.60918,84.14987,86.38376,95.368286,14.253013,23.323223,22.061777,27.92891,16.58788,48.934254,31.91384,28.546394,8.092485,20.849178,22.317257,11.162798,14.146528,21.197922,19.34512,10.109372
image_0012,OM5,108.14775,115.592575,127.302505,103.56967,119.674225,151.13243,129.95218,101.685905,101.06874,95.45478,92.76978,102.16472,89.420784,83.61713,65.64584,80.37171,33.483944,22.076063,9.884904,44.563026,13.946659,31.045303,33.807373,27.354237,25.1301,16.19971,9.086636,8.878095,39.7331,17.844734,21.819715,29.826769
image_0013,OM5,104.00477,116.98044,124.50412,69.4727,112.50894,148.75557,140.22379,92.4458,83.811806,116.39473,112.78296,81.822876,65.51221,88.95616,81.76252,66.548965,52.35488,29.206831,23.448782,47.661083,32.65459,34.722633,47.900642,31.038782,27.331284,23.695324,18.844479,7.5914717,44.515953,13.981527,27.30999,32.006546
image_0014,OM5,121.11447,133.83855,131.03448,115.3201,129.56903,180.7963,161.4272,107.311,125.98677,128.82669,91.992615,81.514915,97.04971,64.677246,55.915478,87.20036,12.956136,19.485067,19.96339,12.251831,20.739729,30.569506,31.18193,17.980303,23.50439,42.04259,16.482342,17.561218,19.122911,23.610144,23.521763,27.161572
image_0015,OM5,133.79843,143.84634,120.41438,139.8687,133.18318,170.15219,134.84203,128.44577,123.35948,158.46188,142.48846,126.66965,112.657486,104.050026,113.400635,128.44527,10.471666,14.879578,21.101286,15.430083,14.690958,22.252964,34.127644,26.891464,26.017801,20.90222,22.56174,8.467674,21.003456,23.702772,15.327838,7.4706926
image_0016,OM5,139.60208,119.989746,143.31194,133.80563,128.02252,134.25035,169.64758,132.84572,126.39607,141.991,158.20523,122.97836,128.16077,112.70007,103.41553,112.447586,15.317029,21.119814,14.785745,10.447363,26.78959,34.137493,22.29207,14.772421,8.60331,22.516897,20.813934,26.062777,7.4784093,15.306147,23.553938,21.072893
image_0017,OM5,133.01868,136.13147,136.65463,125.916565,134.78136,175.7618,197.97299,117.39053,121.713356,143.23624,118.03653,94.89157,93.356285,59.62796,61.04675,93.018074,21.696243,21.906927,17.038218,18.376503,28.36469,31.863243,32.415226,22.738914,27.162542,44.45704,28.084846,19.771042,31.314781,29.58224,29.785326,27.315556
image_0018,OM5,96.87817,95.93496,90.71501,110.94949,115.60932,133.44199,128.94713,121.27528,134.76538,170.25832,149.82877,111.82341,119.15913,145.6359,141.82013,111.14299,41.254223,21.357447,23.581217,36.060425,25.868717,17.60843,24.065645,12.341184,9.717757,19.970772,27.117006,34.62087,38.214012,26.575058,15.540116,48.33163
image_0019,OM5,131.388,135.57448,135.2301,125.87715,133.69547,166.92636,183.37349,120.32133,123.423325,140.92996,121.24824,104.00392,102.73782,76.333466,78.14826,102.66145,16.751324,16.926306,13.094383,13.116436,22.050867,24.448845,25.331093,16.716587,20.26998,34.121136,21.577467,13.728196,22.24348,25.623331,25.541685,19.591549
image_0020,OM5,117.08987,126.908005,123.6695,105.11449,100.05191,145.75192,144.62721,107.176895,92.343475,116.99131,110.48474,84.013016,95.38074,86.46364,84.16357,84.5695,28.0599,22.142935,23.251564,14.377977,28.57555,31.953575,48.794228,16.758879,11.140879,22.32535,20.9626,8.117689,10.140077,19.36828,21.266092,14.297503
image_0021,OM5,119.21847,130.02437,127.70406,114.70798,126.37116,169.97626,153.02191,108.474396,123.60903,126.28694,96.13953,87.896545,100.184074,74.426056,67.106384,92.43951,10.672775,16.285368,16.419117,9.733797,17.140139,26.764486,26.617954,14.324505,19.537764,35.04401,13.550717,13.879344,15.005377,19.224876,19.490591,21.42666
image_0022,OM5,119.88044,135.8743,129.89322,116.92242,117.77081,153.88907,148.87766,118.98651,113.105156,119.03713,110.99179,110.53311,113.51151,89.9031,90.476814,106.1772,9.97678,13.264766,12.173618,4.457338,16.560781,13.51632,15.899243,8.110012,6.723879,15.49445,13.112516,6.316923,6.507241,9.869009,9.274488,9.724925
image_0023,OM5,131.09242,145.26955,147.4967,129.6925,117.11019,154.85175,168.03552,133.32553,122.85043,128.50766,132.64316,120.40785,125.26227,96.392586,93.57394,113.689674,10.257537,14.254588,14.937867,8.711765,27.610352,23.31876,20.920567,9.564241,11.601833,24.664347,17.498362,7.3477554,7.9927416,18.796738,22.587435,11.299067
image_0024,OM5,130.84842,134.96219,134.87677,125.55498,133.20001,166.1632,182.39697,119.85888,123.11056,140.23148,120.8986,103.66281,102.30243,75.90361,77.708374,102.360214,16.41852,16.546703,12.915431,13.069833,21.76878,24.121162,24.905888,16.781563,20.009867,33.784607,21.169992,13.764542,22.421831,25.595276,25.608423,19.69848
image_0025,OM5,81.10866,99.3794,92.643555,77.6885,78.74397,119.872955,114.1496,80.23694,73.530464,80.16142,71.12838,70.615295,73.67527,47.17582,47.804913,65.54216,11.411875,15.060356,13.870902,5.0616436,18.824465,15.392985,18.124252,9.225621,7.5967593,17.59083,14.828692,7.1050425,7.292116,11.273422,10.498041,10.886849
image_0026,OM5,70.65726,82.87241,83.06778,84.887054,81.04297,110.196075,117.422424,91.75096,110.92909,145.50601,143.46854,91.499725,98.45889,120.48427,129.87794,96.682144,32.535824,19.78072,24.580439,27.256437,19.024033,23.188898,22.429197,10.92187,17.688477,49.07171,30.799692,32.148125,34.11268,28.800215,23.716352,49.267227
image_0027,OM5,115.3354,123.75575,120.88698,105.03646,100.60837,140.08261,139.06027,106.808624,93.94546,115.243,109.70981,86.91652,96.762856,88.89186,86.92872,87.32048,24.120703,19.131111,20.07159,12.386079,24.675196,27.658434,42.026978,14.410081,9.657796,19.316868,17.947302,7.034302,8.825966,16.619532,18.482279,12.260116
image_0028,OM5,175.01117,173.00275,173.5723,168.79422,173.54752,205.93832,224.00223,157.98227,162.79956,178.34549,156.57986,139.76878,139.20602,102.74048,105.96612,139.4986,17.5144,20.371225,14.902354,15.327987,24.656607,28.269547,25.75325,17.399029,22.903082,39.244965,23.662344,16.769081,29.688723,33.861694,34.6298,26.315186
image_0029,OM5,133.79843,143.84634,120.41438,139.8687,133.18318,170.15219,134.84203,128.44577,123.35948,158.46188,142.48846,126.66965,112.657486,104.050026,113.400635,128.44527,10.471666,14.879578,21.101286,15.430083,14.690958,22.252964,34.127644,26.891464,26.017801,20.90222,22.56174,8.467674,21.003456,23.702772,15.327838,7.4706926
image_0030,OM5,119.51189,126.695625,124.18758,108.75133,101.160835,144.88531,143.83917,108.25747,95.69249,116.67284,110.00711,84.69669,99.473175,87.35251,84.141106,87.55087,25.008413,19.986101,21.733006,12.221659,27.434566,31.416525,48.601177,15.309208,9.7735195,22.207336,20.79252,8.239122,8.217153,19.007706,21.051647,14.472064
image_0031,OM5,84.09186,69.11162,74.71417,91.45534,99.024574,95.3171,91.34384,101.81944,112.66265,136.27972,147.68257,112.21318,113.215454,121.25987,118.72386,99.36228,36.68085,16.173676,22.215933,32.72447,22.653008,7.883975,13.387238,11.495702,18.39536,35.16791,31.049713,27.127089,35.809986,21.694345,11.207758,42.58994
image_0032,OM5,120.02829,130.55235,128.17145,115.40273,126.98417,170.65665,153.51076,109.09075,124.31073,127.1702,97.03027,88.6439,100.932465,74.946,67.64139,93.057144,10.789632,16.148996,16.359549,9.7084465,17.050398,27.024261,26.695202,14.230776,19.598614,35.092754,13.494174,14.029359,15.168781,19.362844,19.608315,21.564445
image_0033,OM5,74.64813,82.20909,87.704666,80.02209,82.79912,111.53382,116.69528,87.98224,98.95743,142.31253,148.01544,105.34061,86.58475,124.81004,120.44981,111.0146,26.12557,25.465094,16.782127,35.86849,7.761122,19.718935,22.780378,21.935606,26.323116,48.273926,33.134323,31.71784,39.079826,23.43082,27.293713,43.7608
image_0034,OM5,120.04231,123.70172,123.4487,114.780014,122.04957,152.43552,167.43292,109.68768,112.5037,128.57138,110.465546,94.940445,93.6492,69.39138,70.952484,93.5427,15.28857,15.463545,11.8977585,12.047931,20.144817,22.432499,23.195667,15.3364725,18.511948,31.219316,19.702032,12.626307,20.49532,23.511961,23.483446,18.00583
image_0035,OM5,118.62915,118.3213,126.496,123.71828,118.87446,149.64319,133.3797,109.31766,104.15589,93.42365,94.19556,104.30671,104.97899,80.29161,67.38796,96.42644,4.924238,13.075557,10.444376,7.5571065,13.78191,31.153122,34.906525,18.827646,12.565027,15.001429,8.506154,7.657668,15.838667,18.693823,18.24927,15.278488
image_0036,OM5,133.79843,143.84634,120.41438,139.8687,133.18318,170.15219,134.84203,128.44577,123.35948,158.46188,142.48846,126.66965,112.657486,104.050026,113.400635,128.44527,10.471666,14.879578,21.101286,15.430083,14.690958,22.252964,34.127644,26.891464,26.017801,20.90222,22.56174,8.467674,21.003456,23.702772,15.327838,7.4706926
image_0037,OM5,130.47545,143.68735,145.76329,129.05789,117.339516,152.64255,164.91254,132.55774,122.72653,128.17622,131.9218,120.46797,125.12396,98.017876,95.54516,114.13191,9.464479,13.069108,13.856872,8.012936,25.816805,21.718458,19.44355,8.931365,10.7613945,22.92295,16.417906,6.889976,7.3558884,17.41812,21.169554,10.47006
image_0038,OM5,130.62193,135.02428,134.80176,125.4409,133.17819,166.03397,182.40524,119.99352,122.99823,140.37204,120.67867,103.70294,102.2968,75.86932,77.63472,102.320656,16.484245,16.505634,12.820644,13.059783,21.77367,24.063929,24.873451,16.767565,20.024832,33.73645,21.208202,13.894006,22.311611,25.581131,25.508728,19.671074
image_0039,OM5,150.73883,145.96997,155.34253,157.16483,147.34856,178.19673,158.7781,137.13618,130.38812,116.32023,116.52214,132.04327,133.47461,101.70692,85.36054,122.68064,6.22477,15.629222,12.856389,8.536281,13.806787,34.95332,39.751236,22.693964,13.664481,16.089314,8.125358,10.0942745,20.20697,23.535866,23.117891,19.50826
image_0040,OM5,103.87903,103.80942,110.95729,108.4846,104.170456,131.35938,116.89102,95.71778,91.099686,81.76021,82.5569,91.3367,91.90589,70.26306,58.84044,84.44424,4.30345,11.457429,9.195002,6.691767,12.172593,27.467007,30.60001,16.454365,10.959136,13.203702,7.504648,6.615114,13.884802,16.519217,16.067602,13.394242
image_0041,OM5,130.82625,143.89151,146.42581,129.3115,116.370705,153.66745,165.69818,132.38516,122.38092,127.84465,131.20166,119.91761,125.37919,95.85623,93.102295,113.316124,9.658158,13.224149,14.210881,8.407366,27.177362,22.570145,20.550276,9.034643,11.5815525,24.344103,16.922665,7.2535954,8.075511,18.873795,22.661001,11.217332
image_0042,OM5,114.69071,122.161705,119.57907,105.51623,101.26618,136.64384,135.673,106.90246,95.33611,114.48499,109.47841,88.944466,97.857445,90.93429,89.01535,89.458145,21.415941,17.002043,17.947634,10.9851885,22.146141,24.705978,37.59276,12.77715,8.508591,17.146397,16.002396,6.24714,7.748316,14.907658,16.551676,11.01036
image_0043,OM5,117.885376,117.46441,125.54642,123.24348,118.17108,147.85913,131.66974,108.66627,103.44533,92.62316,93.59815,103.56844,104.09961,79.79335,66.770706,95.931694,4.8780413,12.551647,9.839302,7.506569,13.188387,30.202847,33.83362,18.761505,12.195049,14.761209,8.385908,7.5110517,15.564353,18.730337,18.211264,15.225939
image_0044,OM5,123.753784,126.31857,118.30444,118.561745,109.11362,133.18823,149.48117,119.001,104.18385,94.08911,93.29758,103.99286,96.364395,67.40486,80.204475,104.91405,7.5782423,10.432188,13.0869055,4.8517966,18.916286,34.641403,30.989052,13.749726,7.5470853,8.494049,14.875388,12.5184355,15.346189,18.231865,18.63349,15.900381
image_0045,OM5,98.50141,115.52463,127.34,84.91576,120.70929,153.18329,126.46449,95.736694,98.926056,97.59642,91.78812,99.424866,74.21091,87.09526,66.49494,66.140434,43.95569,26.386799,9.653148,55.570213,13.843633,30.972296,32.22883,31.848011,32.007572,17.377178,9.600826,10.185378,49.34779,17.261612,23.241377,34.302006
image_0046,OM5,139.88873,120.39616,143.82216,133.92154,128.38754,134.71872,170.22118,133.27463,126.59221,142.43784,158.57903,123.43267,128.43906,113.34444,104.063126,112.60529,15.599531,21.070332,14.894216,10.482225,26.840012,34.240074,22.33804,14.654535,8.422779,22.498877,20.893042,25.870644,7.545058,15.384119,23.692207,20.88544
image_0047,OM5,132.56366,136.83136,137.02573,126.05823,134.86334,173.63655,193.00598,118.96231,122.50248,143.06197,119.60145,98.5655,97.03287,65.01683,67.07033,96.83583,19.975834,19.721666,15.778996,16.42925,26.141384,28.191076,28.71369,20.859161,24.567026,40.55946,25.802448,17.237059,28.065866,29.76794,29.512222,24.604177
image_0048,OM5,122.0422,119.15196,130.13214,129.1348,120.229675,157.41187,136.27039,108.37262,100.86287,86.582886,87.53641,101.77333,102.918625,68.7795,53.840836,90.9713,6.9426937,16.718264,13.58192,10.35085,16.502094,39.23632,44.188652,25.506424,16.094557,18.63773,10.598681,10.570254,22.295315,25.138096,22.049433,21.430017
image_0049,OM5,121.87937,132.82947,129.24654,107.43484,99.20572,156.92285,153.55988,108.09709,90.57565,119.67418,110.789276,76.234886,95.06576,80.30748,76.3877,79.891846,33.820927,27.094946,29.561956,17.300953,35.646065,40.090107,60.492363,21.255915,12.930292,29.987505,28.319891,11.041693,11.100419,24.513659,26.48408,18.843191
image_0050,OP2,112.1359,130.19562,139.46967,107.91536,99.613976,149.10886,164.91284,118.43039,94.44852,125.99159,130.53885,113.246475,96.0405,102.52451,105.77092,98.821594,18.598265,24.084982,25.811716,15.198643,23.08493,27.91241,22.734816,22.92457,7.5439568,12.100521,12.233833,18.29471,8.354439,20.06494,21.186575,11.170832
image_0051,OP2,136.37384,153.20493,150.93405,132.77652,147.95755,173.44827,166.12408,119.2771,125.25221,139.62387,143.27625,117.648026,130.25673,122.47924,116.43793,117.27049,20.47453,21.565636,28.558487,15.73703,23.421299,27.9453,29.893026,24.276903,16.102566,9.10781,28.183512,11.96364,14.256889,17.395761,18.14216,15.677306
image_0052,OP2,130.18483,143.79593,145.79166,124.83041,122.25607,158.96945,153.82214,113.19453,115.714195,136.57379,123.2728,99.314766,116.62149,86.978165,77.63441,104.38975,14.496772,15.928493,15.906594,11.657519,20.78632,21.521109,25.061028,14.641708,11.491151,26.910315,18.741558,12.948922,15.209948,23.276886,24.71667,20.912777
image_0053,OP2,129.42955,140.90488,133.86447,125.861336,124.06069,175.2424,171.45612,110.98961,125.39326,123.72395,106.34567,94.685814,119.01895,93.45087,83.25693,111.11294,11.018987,16.323755,9.947765,6.7998595,18.619926,21.810358,30.925486,13.949321,5.423777,18.952387,9.179152,13.935031,8.203283,16.237112,20.847366,16.212326
image_0054,OP2,140.91489,161.91528,152.50153,130.71814,153.36652,188.94032,164.51999,119.513245,140.8394,147.22577,149.94708,117.02355,130.45674,119.12795,109.483444,119.78288,13.459149,19.411518,25.825897,8.753091,16.629646,20.651018,30.75292,19.224688,11.017905,12.176221,24.490759,10.051419,7.165488,19.527042,22.681055,16.615536
image_0055,OP2,122.281555,154.56732,159.52979,128.25856,150.44235,198.87979,183.75024,111.54231,143.99753,163.31973,135.87065,108.288895,118.74646,106.39469,90.509384,115.068085,12.777,29.328255,29.570862,21.237255,27.145655,13.500121,27.049225,33.107,23.093214,22.838085,28.183279,14.737611,15.289288,31.536884,24.453327,11.1002445
image_0056,OP2,126.642914,151.87932,150.88522,126.89043,142.96407,188.08185,164.25797,107.72716,124.444626,132.94925,128.82942,106.6415,110.74936,85.94747,76.846275,104.44989,18.747871,24.964657,23.822948,15.968432,24.323193,11.401091,30.501652,31.570253,15.784653,24.368233,27.50965,11.182491,12.886007,23.307577,23.42288,15.395203
image_0057,OP2,120.916824,141.20308,143.14296,122.388245,137.90224,182.48389,157.99768,116.19087,122.9017,128.47049,115.90958,100.26834,110.16373,94.17905,86.267,106.46843,11.967493,19.599447,19.44727,15.43321,24.296684,17.940893,26.224373,27.188265,19.47035,23.491358,16.228907,14.800184,14.613336,21.97373,24.774492,13.774684
image_0058,OP2,136.96835,153.53067,145.23334,131.111,139.3868,182.42628,180.20102,122.46943,130.06444,128.11142,113.84628,101.962814,121.812744,91.430885,81.80464,108.89175,15.33618,16.563175,10.322608,7.613864,18.301886,13.647041,19.098331,12.513731,7.8781123,28.365149,19.176085,10.802855,8.244077,19.46116,21.894857,18.171656
image_0059,OP2,138.1562,153.53906,157.26169,138.27402,148.15985,170.22516,158.1308,131.23921,139.90686,142.4527,122.00138,115.04942,128.63214,116.93349,102.30368,126.08252,12.055121,18.555637,17.34165,19.726873,16.204039,23.664415,27.617346,38.96219,12.89978,14.250829,13.734007,18.577578,12.264984,20.264803,18.284145,14.563017
image_0060,OP2,115.77947,148.18242,137.32538,105.6821,133.9629,159.05264,151.07594,98.278015,125.984634,131.9503,117.471146,97.94964,107.56665,108.91202,101.49387,99.31861,18.156086,25.25404,28.458813,11.891856,20.65371,25.231081,26.439936,22.208752,14.309841,14.169188,10.5174465,10.145368,9.099342,14.013095,15.907677,11.502823
image_0061,OP2,125.331726,165.52577,155.25636,118.73241,150.77867,193.11768,174.97604,103.86944,132.78265,147.04845,142.92131,105.139725,114.83328,118.66965,114.31053,106.07417,24.119677,32.30723,33.53234,20.423347,29.225498,18.624884,25.890636,20.299992,19.261269,10.964681,15.016492,12.052129,5.9946623,11.909333,16.959045,10.273224
image_0062,OP2,145.55637,168.19817,164.31366,143.52016,154.31357,191.74084,172.31238,125.60397,138.09857,161.10678,149.74316,125.804886,125.80992,118.28177,92.401924,114.76099,14.356471,17.871708,17.571255,11.655126,20.13712,18.150433,17.930735,26.60744,21.785437,17.067343,16.071064,11.191927,14.169389,26.027353,26.620934,19.507004
image_0063,OP2,125.65285,165.78748,156.39206,116.394615,114.00444,176.99539,182.6721,132.02731,104.25453,144.4166,143.62234,126.03253,110.96658,112.61654,114.94233,109.2338,25.140196,32.598167,31.357498,20.392653,26.85835,30.016333,29.070435,29.40005,11.714794,13.982967,8.003572,23.572443,8.38394,17.597948,21.271166,15.285063
image_0064,OP2,119.47022,145.4543,146.67145,119.90905,135.48436,189.12982,169.65048,108.911575,122.58244,137.80737,126.09798,96.08276,107.62947,93.440025,85.571106,105.857956,13.467552,23.230558,28.888971,17.900286,27.24954,19.098831,26.144253,32.273357,17.184113,18.5859,15.381112,16.904182,14.51582,27.375826,23.664705,12.425736
image_0065,OP2,124.38417,161.79291,156.79865,119.165375,148.65051,201.53934,177.9083,101.30145,130.99405,163.55176,150.27641,105.07685,113.02617,123.41332,110.47075,107.13518,26.842215,32.77036,29.632433,24.170273,33.089397,14.059331,23.232477,32.501648,24.530916,10.338267,9.520289,18.625105,18.637928,27.477903,23.469027,15.590215
image_0066,OP2,129.3953,150.29959,143.7622,125.34643,120.776985,176.94354,180.82773,130.96355,118.73265,132.45863,131.50519,119.41945,122.89236,102.99666,96.686325,111.15964,17.49459,20.232517,19.197104,7.7302017,23.172295,16.57482,16.011095,11.430443,11.415143,23.997551,14.789001,11.4982195,7.958419,21.019077,26.262842,16.19615
image_0067,OP2,130.65845,144.22862,151.99135,132.49092,133.05362,182.05899,170.93005,123.84171,120.17946,148.14168,132.2836,115.542694,110.402176,102.71841,96.15665,111.11543,8.060273,16.383728,15.7957945,13.098456,14.516687,18.846502,24.804808,18.153559,18.062317,14.008539,11.169017,8.4481735,13.872436,26.18964,23.260443,8.390559
image_0068,OP2,135.06099,165.0846,155.13116,130.0051,152.23814,193.71378,188.55382,138.6641,135.92989,164.95847,153.88173,127.18016,120.93911,108.25935,97.31279,112.83157,20.994297,26.025923,23.37282,10.93999,29.55515,10.48683,13.101515,20.49797,18.96965,25.2697,15.700271,16.770353,13.199444,32.7101,35.49788,18.984766
image_0069,OP2,133.67096,149.57036,156.03075,139.39078,135.10056,170.66241,161.90866,130.82068,127.4202,141.97278,122.04265,122.86067,115.053825,106.91176,115.0029,133.73236,11.04943,18.737019,16.832582,17.834328,14.367138,19.364864,27.74459,17.231836,13.705306,16.1429,13.945821,13.02392,16.439445,18.30298,13.5465765,7.61213
image_0070,OP2,117.99153,145.48355,141.2556,109.90065,140.98383,172.73872,156.7492,108.58677,129.64774,141.28253,133.80006,110.62435,107.648834,118.93072,115.58068,102.46312,20.407928,24.514326,28.372583,13.582151,26.414375,28.755938,22.955639,19.673103,26.07082,18.896841,14.528935,15.320042,7.136622,17.170616,16.371649,14.068951
image_0071,OP2,115.50274,141.17697,144.24438,117.542786,120.25363,164.45813,170.80128,109.61276,99.676636,128.54016,142.06165,111.98067,98.78748,95.99982,97.30887,103.53197,13.079133,21.179197,28.884415,17.143257,18.26593,26.92192,28.343296,28.41933,16.852808,10.879992,20.284267,16.255058,14.023688,22.374445,19.31046,12.167251
image_0072,OP2,143.63287,158.56442,158.13795,138.45335,132.49905,174.48372,172.90138,131.61282,129.92728,130.4289,131.98355,118.51548,135.41473,113.55832,105.36839,118.47861,13.812141,13.922761,15.564252,8.727249,20.743933,15.658653,11.747564,14.054309,5.6319914,13.793766,14.007498,12.893634,6.439417,14.733353,17.724997,17.93603
image_0073,OP2,151.92522,167.62538,163.90405,143.94669,133.8462,170.00397,177.19373,143.32016,130.37671,131.4036,138.27835,135.68906,139.78851,120.42836,110.05417,123.54321,14.232049,13.090963,12.340001,8.429478,27.968533,25.003054,24.081858,9.634584,13.343003,11.778094,13.4481535,9.8487015,7.061276,16.076387,21.145662,17.520407
image_0074,OP2,122.75887,154.2511,146.67203,121.41485,132.44873,188.07166,163.89647,114.99254,115.95068,135.69989,119.129715,103.1097,107.84915,87.029945,86.84972,110.32384,12.952609,25.66538,20.23789,9.415004,23.33788,11.695701,29.87802,14.875203,23.938936,21.094416,12.937551,11.219681,16.894434,24.115358,21.28375,11.588811
image_0075,OP2,122.30421,145.46622,146.24811,119.15615,144.61316,185.91821,167.164,105.02321,138.41406,135.49078,114.35525,99.83537,114.70775,92.90376,71.16502,102.52006,12.774068,20.60759,23.48772,16.361536,24.612635,20.740057,29.978485,31.252018,20.87332,23.208115,18.378569,11.84685,14.705057,23.19925,21.529852,14.948404
image_0076,OP2,129.78284,146.63109,151.78387,135.97578,140.72159,170.75558,176.99362,136.79845,146.74156,164.77249,138.43848,103.73515,112.64334,95.44618,95.7467,120.55922,8.043191,20.570925,15.483137,19.397089,17.097109,9.478106,18.86589,34.970352,22.874146,21.00421,24.700468,23.941383,23.001795,31.15436,22.483223,11.913938
image_0077,OP2,132.88643,155.50928,154.19832,135.11087,136.09705,164.26245,178.8788,137.93086,134.26651,148.46169,136.33278,114.99788,106.242485,88.46805,95.011215,119.00281,10.374891,21.975538,16.236225,12.914608,15.878007,16.179401,12.706945,22.947104,22.360678,21.49557,15.159475,16.95103,20.39567,26.35676,23.504,15.801334
